	ORDO_ID	Concept	Mapped_Term	SNOMED_ID	SNOMED_Term	Score
181	118	Beta-mannosidosis	Beta-mannosidosis	238047006	Beta-D-mannosidosis (disorder)	1000
241	91	Aromatase deficiency	Aromatase deficiency	427627006	Maternal virilization due to placental aromatase deficiency (disorder)	1000
105	79	Congenital alpha2-antiplasmin deficiency	Congenital alpha2-antiplasmin deficiency	716746003	Congenital alpha-2-antiplasmin deficiency (disorder)	1000
217	76	Strongyloidiasis	Strongyloidiasis	1214006	Infection caused by Strongyloides (disorder)	1000
215	74	Angiostrongyliasis	Angiostrongyliasis	61750000	Infection caused by Angiostrongylus (disorder)	1000
332	70	Proximal spinal muscular atrophy	SMA	5262007	Spinal muscular atrophy (disorder)	1000
258	62	Autosomal recessive limb-girdle muscular dystrophy type 2D	Autosomal recessive limb-girdle muscular dystrophy type 2D	715340002	Autosomal recessive limb girdle muscular dystrophy type 2D (disorder)	1000
113	28	Vitamin B12-responsive methylmalonic acidemia	Vitamin B12-responsive methylmalonic acidemia	69614003	Adenosylcobalamin synthesis defect (disorder)	1000
451	27	Vitamin B12-unresponsive methylmalonic acidemia	Methylmalonyl-Coenzyme A mutase deficiency	124680001	Deficiency of methylmalonyl-coenzyme A mutase (disorder)	1000
450	24	Fumaric aciduria	Fumarase deficiency	124616002	Deficiency of fumarate hydratase (disorder)	1000
35	17	Fatal infantile lactic acidosis with methylmalonic aciduria	Fatal infantile lactic acidosis with methylmalonic aciduria	715338007	Fatal infantile lactic acidosis co-occurrent with methylmalonic aciduria (disorder)	1000
173	16	Blue cone monochromatism	Blue cone monochromatism	24704003	Cone monochromatism (disorder)	1000
237	5	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	237999008	Mitochondrial trifunctional protein deficiency (disorder)	1000
